"start",,,,
"Jcan-Jacques Rousseau",101004,101025,"PER","richtig"
"Rousseau",101156,101164,"PER","richtig"
"Georg Christoph Lichtenberg",101357,101384,"PER","richtig"
"Schrifen d Briefe",101386,101403,"PER","falsch"
"Wolfgang Promies",101414,101430,"PER","richtig"
"Bd. IIl",101440,101447,"PER","falsch"
"Link",101481,101485,"PER","falsch"
"Vincennes",101525,101534,"PER","richtig"
"Niklas Luhmann",101627,101641,"PER","richtig"
"Nietzsche",101777,101786,"PER","richtig"
"Rilke",101788,101793,"PER","richtig"
"Gerhard Neumann",101964,101979,"PER","richtig"
"“Skandalon",101981,101991,"PER","falsch"
"Kleists",102037,102044,"PER","richtig"
"Cervantes",102072,102081,"PER","richtig"
"von Kleist",102139,102158,"PER","richtig"
"Rudolf Picard",102325,102338,"PER","richtig"
"Marcel Raymond",102499,102513,"PER","richtig"
"Jean-Jacques Rousseau",102515,102536,"PER","richtig"
"Rousseaus Weltbild",102606,102624,"PER","teilrichtig"
"Marthe Robert",102680,102693,"PER","teilrichtig"
"Roman des origines et origines du roman",102695,102734,"PER","falsch"
"Manfred Smuda",102748,102761,"PER","richtig"
"Jean Starobinski",102861,102877,"PER","richtig"
"Bd. I",102893,102898,"PER","falsch"
"Jean Starobinski",103035,103051,"PER","richtig"
"Jean-Jacgues Rousseau",103053,103074,"PER","richtig"
"Rousseau",103164,103172,"PER","richtig"
"Nizet",103200,103205,"PER","unklar"
"Anne Vincent-Buffault",103391,103412,"PER","richtig"
"larmes",103427,103433,"PER","falsch"
"XVIIIe-XIXe siècles",103435,103455,"PER","falsch"
"Familie Kleists",103564,103579,"PER","teilrichtig"
"Neumann",103606,103613,"PER","richtig"
"Rousseau",103713,103721,"PER","richtig"
"Birgit Wagner",103735,103748,"PER","richtig"
"Don Quijote",103915,103926,"PER","richtig"
"Frankenstein",103931,103943,"PER","richtig"
