9;"Histoire d’Amyntor et de Thérèse, traduite de l’anglois";;
"PUISIEUX, Madeleine d’Arsant, madame de";"Le plaisir et la volupté, conte allégorique";;
"PUISIEUX, Madeleine d’Arsant, madame de";"Mémoires d’un homme de bien, par madame de Puisieux";;
"PUISIEUX, Madeleine d’Arsant, madame de";"Alzarac ou la nécessité d’être inconstant";;
"PUISIEUX, Madeleine d’Arsant, madame de";"Histoire de mademoiselle de Terville, par madame de Puisieux";;
"PUISIEUX, Madeleine d’Arsant, madame de";"Zamor et Almanzine ou l’inutilité de l’esprit et du bon sens, par madame de Puisieux";;
"PUISIEUX, Madeleine d’Arsant, madame de";"L’éducation du marquis de *** ou mémoires de la comtesse de Zurlac, par Mme de P**";;
"PUYSÉGUR, François-Jacques de Chastenet, marquis de";"Histoire de madame de Bellerive ou principes sur l’amour et sur l’amitié, par M. le chevalier D*****";;
"QUATREMÈRE-D1SJONVAL, madame S.-N.";"Miss Belhowe et le lord Clarendon ou les épreuves de l’amour et de la vertu, par la citoyenne •**";;
"QUESNÉ, Jacques";"Salbigoton Eugène et Sophie ou les violents effets de l’amour";;
"QUESNE, Jacques Salbigoton";"Les cinq voleurs de la Forêt-Noire";;
"QUESNÉ, Jacques Salbigoton";"Les folies d’un conscrit, par J.-S. Quesné";;
"QUESNÉ, Jacques Salbigoton";"Lettres de Verteuil, de Paris, à Montdorf, de Nuremberg";;
"QUESNÉ, Jacques Salbigoton";"Le naufrage";;
"QUEVEDO Y VILLEGAS, Francisco Gomez de";"Voyages récréatifs du chevalier de Quévédo, écrits par lui-mesme, rédigés & traduits de l’espagnol";;
"QUÉVÉDO Y VILLEGAS, Francisco Gomez de";"Le Fin-Matois ou histoire du Grand-Taquin, traduite de l’espagnol de Quévédo, avec des notes historiques et politiques, nécessaires pour la parfaite intelligence de cet auteur";;
"RABAUT DE SAINT-ÉTIENNE, Jean-Paul";"Triomphe de l’intolérance ou anecdotes de la vie d’Ambroise Borély, mort à Londres âgé de 103 ans, recueillies par W. Jesterman, ouvrage traduit de l’anglais & trouvé parmi les papiers de M. de Voltaire, suivi de la Tolérance aux pieds du trône";;
"RABELAIS, François";"Le Rabelais moderne ou les œuvres de maître François Rabelais, docteur en médecine, mises à la portée de la plûpart des lecteurs, avec des éclercissemens historiques, pour l’intelligence des allégories contenues dans le Gargantua et dans le Pantagruel.";;
"RABELAIS, François adapt. par G.-L. CALABRE-PERAU n";"Œuvres choisies de M. François Rabelais, docteur en médecine de la Faculté de Montpellier, chanoine de Saint-Maur-des-Fossés et curé de Meudon";;
"RABELLEAU";"Le cosmopolite ou les contradictions, histoire, conte, roman, & tout ce que l’on voudra, avec des notes, traduit de l’allemand";;
"RABELLEAU";"Le phasma ou l’apparition, histoire grecque, contenant les aventures de Néoclès, fils de Thémistocle, ouvrage tiré d’un manuscrit trouvé à Smyrne et traduit par M. Poinsinet de Sivry, de la Société royale des sciences & belles-lettres de Lorraine";;
"RADCL1FFE, Ann Ward. Mrs";"La forêt ou l’abbaye de Saint-Clair, traduit de l’anglais sur la seconde édition";;
"RADCLIFFE, Ann Ward, Mrs";"Les châteaux d’AJhlin et de Dunbayne, histoire arrivée dans les montagnes d’Ecosse, par Anne Radcliffe, traduite de l’anglais";;
"RADCLIFFE, Ann Ward, Mrs";"L’Italien ou le confessionnal des pénitens noirs, par Anne Radcliffe, auteur de La forêt ou l’abbaye de Saint-Clair et des Mystères d’Udolpho, traduit par André Morellet";;
"RADCLIFFE, Ann Ward, Mrs";"Les mystères d’Udolphe, par Anne Radcliffe, traduit de l’anglois sur la troisième édition";;
"RADCLIFFE, Ann Ward, Mrs";"Eléonore de Rosalba ou le confessionnal des pénitens noirs, traduit de l’anglais d’Anne Radcliffe, auteur de La forêt ou l’abbaye de Saint-Clair, par Mary Gay, avec figures de Queverdo";;
"RADCLIFFE, Ann Ward, Mrs";"Julia ou les souterrains du château de Mazzini, par Anne Radcliffe, auteur de l’Abbaye de Saint-Clair, des Mystères d’Udolphe, du Confessionnal des pénitens noirs, etc., traduit de l’anglais sur la seconde édition";;
"RAITHBY, John";"Henry Bennett et Julie Johnson ou les esquisses du cœur, roman traduit de l’anglais et orné de gravures";;
"RAMOND DE CARBONNIÈRES, baron Louis-François- Elisabeth";"Les dernières aventures du jeune d’OIban, fragment des Amours alsaciennes";;
"RANÇONNET, abbé";"Anecdote prophétique de Mathieu Laensbergh, traduite fidèlement du gaulois par un Liégois, pour résister aux fureurs posthumes du Journal encyclopédique contre Liège";;
"RASPE, Rudolf Erich";"Gulliver ressuscité ou les voyages, campagnes et aventures extraordinaires du baron de Munikhouson";;
"REBOUL";"Essai sur les mœurs du tems";;
"REEVE, Mrs Clara";"Les deux mentors ou mémoires pour servir à l’histoire des mœurs angloises au 18me. siècle, traduction libre de l’anglois de M*** par M.D. la P. . .";;
"REEVE, Mrs Clara";"Mémoires du comte de Cronstadt, par Clara Reeve, auteur du Fieux baron anglois, des Deux mentors, &c., traduits de l’anglois par M. Le Bas";;
"REEVE, Mrs Gara";"Le vieux baron anglois ou les revenans vengés, histoire gothi que, imitée de l’anglois de mistriss Clara Reeve, par M.D.L.. p***";;
"REGLEY, abbé";"Histoire de Louis Mandrin, depuis sa naissance jusqu’à sa mort, avec un détail de ses cruautés, de ses brigandages, & de son supplice";;
"REGNAULT-WARIN, Jean-Baptiste-Joseph-Innocent-Philadelphe";"La jeunesse de Figaro, par J.J. Regnault-Warin, auteur du Gmetière de la Madeleine, de Roméo et Juliette, etc.";;
"REGNAULT-WARIN, Jean-Baptiste-Joseph-Innocent-Philadelphe";"Les prisonniers du Temple, par J.-J. Regnault-Warin, auteur du Cimetière de la Madeleine";;
"REGNAULT-WARIN, Jean-Baptiste-Joseph-Innocent-Philadelphe";"Le cimetière de la Madeleine, par J.J. Regnault-Warin, auteur de Roméo et Juliette, la Caverne de Strozzi. etc.";;
"REGNAULT-WARIN. Jean-Baplisle-Joseph-Innocent-Philadelphc";"Roméo et Juliette, roman historique, par J.J. Régnault de Warin, auteur de la Caverne de Strozzi";;
"Relation de Phihihu, émissaire de l’empereur de la Chine en";;;
"REMER, Julius August";"Petite chronique du royaume de Tatoïaba, par Wieland, traduite de l’allemand";;
"RÉMY, abbé Joseph-Honoré";"Voyage d’un prince autour du monde ou les effets du luxe";;
"RENAUD DE LA GRELAIE";"Les soupers de Vaucluse, par M.R.D.L. de plusieurs académies";;
"RÉTIF DE LA BRETONNE, Nicolas";"Les oreilles des bandits de Corinthe, avec une lettre de M. de Voltaire sur les comètes";;
"RETIF DE LA BRETONNE, Nicolas-Edme";"La malédiction paternelle, lettres sincères et véritables de N.** ***** à ses pareils, ses amis et ses maîtresses, avec les réponses, recueillies et publiées par Timothée Joly, son exécuteur testamentaire";;
"RETIF DE LA BRETONNE, Nicolas-Edme";"Les nouveaux mémoires d’un homme-de-qualité, par M. le M ... de Br...";;
"RETIF DE LA BRETONNE, Nicolas-Edme";"Les contemporaines ou avantures des plus jolies femmes de l’âge présent recueillies par N. ** ** et publiées par Timothée Joly, de Lyon, dépositaire de ses manuscrits";;
"RETIF DE LA BRETONNE, Nicolas-Edme";"La femme infidelle, par Maribert-Courtenay";;
"RÉTIF DE LA BRETONNE, Nicolas-Edme";"Les nuits de Paris ou le spectateur nocturne, tome huitième, seizième partie";;
"RÉTIF DE LA BRETONNE, Nicolas-Edme";"La femme dans les trois états de fille, d’épouse et de mère, histoire morale, comique & véritable";;
"RÉTIF DE LA BRETONNE, Nicolas-Edme";"Le paysan perverti ou les dangers de la ville, histoire récente mise au jour d’après les véritables lettres des personages (sic), par N.E. Rétif de la Bretonne Imprimé à la Haie et se trouve à";;
"RÉTIF DE LA BRETONNE, Nicolas-Edme";"La prévention nationale, action adaptée à la scène, avec deux variantes et les faits qui lui servent de base";;
"RÉTIF DE LA BRETONNE, Nicolas-Edme";"Les contemporaines par-gradation ou avantures des jolies-femmes de l’âge actuel, suivant la gradation des principaux états de la société, recueillies par N.-E.R.**D.*-L.*-B.*** Imprimé à Leipsick, par Buschel, marchand-libraire & se trouve à Paris, cites la d.e v.e";;
"RÉTIF DE LA BRETONNE, Nicolas-Edme";"Le pied de Fanchette ou l’orpheline française, histoire intéressante et morale";;
"RÉTIF DE LA BRETONNE, Nicolas-Edme";"La famille vertueuse, lettres traduites de l’anglais, par monsieur de La Bretonne";;
"RÉTIF DE LA BRETONNE, Nicolas-Edme";"Les soirées helvétiennes, alsaciennes et francomtoises";;
"RÉTIF DE LA BRETONNE, Nicolas-Edme";"Le pomographe ou idées d’un honnête-homme sur un projet de réglement pour les prostituées, propre à prévenir les malheurs qu’occasionne le publicisme des femmes, avec des notes historiques et justificatives";;
"RÉTIF DE LA BRETONNE, Nicolas-Edme";"Les Françaises ou XXXIV exemples choisis dans les moeurs actuelles, propres à diriger les";;
"RÉTIF DE LA BRETONNE, Nicolas-Edme";"La paysanne pervertie ou les dangers de la ville, histoire d’Ursule R**, sœur d’Edmond, le paysan, mise-au-jour d’après les véritables lettres des personages, avec 114 estampes, par l’auteur du Paysan perverti";;
"RÉTIF DE LA BRETONNE, Nicolas-Edme";"Monument du costume physique et moral de la fin du dix-huitième siècle ou tableaux de la vie, ornés de figures dessinées & gravées par M. Moreau le jeune, dessinateur du cabinet de S.M.T.C. & par d’autres célèbres artistes";;
"RÉTIF DE LA BRETONNE, Nicolas-Edme";"La dernière avanture d’un homme de quarante-cinq ans, nouvelle utile à plus d’un lecteur";;
"RÉTIF DE LA BRETONNE, Nicolas-Edme";"Le Palais-Royal, première partie. Les filles de l’Alée-des-soupirs";;
"RÉTIF DE LA BRETONNE, Nicolas-Edme";"La découverte australe par un homme-volant ou le Dédale français, nouvelle très-philosophique, suivie de la Lettre d’un singe etc.";;
"RÉTIF DE LA BRETONNE, Nicolas-Edme";"La fille naturelle";;
"RÉTIF DE LA BRETONNE, Nicolas-Edme";"Le ménage parisien ou Déliée et Sotentout";;
"RÉTIF DE LA BRETONNE, Nicolas-Edme";"Les contemporaines du-commun ou avantures des belles marchandes, ouvrières, etc., de l’âge présent, recueillies par N.-E. R**-D*-L*-B***";;
"RÉTIF DE LA BRETONNE, Nicolas-Edme";"La semaine nocturne, sept nuits de Paris qui peuvent servir de suite aux III-CLXXX déjà publiées, ouvrage servant à l’histoire du jardin du Palais-royal";;
"RÉTIF DE LA BRETONNE, Nicolas-Edme";"L’anti-Justine ou les délices de l’amour, par M. Linguet, av. au et en Parlent., avec LX figures";;
"RÉTIF DE LA BRETONNE, Nicolas-Edme";"Lucile ou les progrès de la vertu, par un mousquetaire";;
"RÉTIF DE LA BRETONNE, Nicolas-Edme";"La mimographe ou idées d’une honnête-femme pour la réformation du théâtre national";;
"RÉTIF DE LA BRETONNE, Nicolas-Edme";"La vie de mon père, par l’auteur du Paysan perverti";;
"RÉTIF DE LA BRETONNE, Nicolas-Edme";"L’école des pères, par N.E. Rétif de la Bretonne En France & à";;
"RÉTIF DE LA BRETONNE, Nicolas-Edme";"Ingénue Saxancour ou la femme séparée, histoire propre â démontrer combien il est dangereux pour les filles de se marier par entêtement et avec précipitation malgré leurs parens, écrite par elle-même";;
"RÉTIF DE LA BRETONNE, Nicolas-Edme";"Lettres de lord Austin de N** â lord Humfrey de Dorset, son ami";;
"RÉTIF DE LA BRETONNE, Nicolas-Edme";"Les veillées du Marais ou histoire du grand Prince Oribeau, roi de Mommonie, au pays d’Evinland, et de la vertueuse princesse Oribelle, de Lagenie, tirée des anciennes-annales-irlandaises et récemment-translatée en-français, par Nichols-Donneraill, du comté de Korke, descendant de l’auteur Imprimé à Waterford, capitale de Mommonie,";;
"RÉTIF DE LA BRETONNE, Nicolas-Edme";"Le quadragénaire ou l’âge de renoncer aux passions, histoire utile à plus d’un lecteur";;
"RÉTIF DE LA BRETONNE, Nicolas-Edme";"Les gynographes ou idées de deux honnêtes-femmes sur un projet de règlement proposé à toute l’Europe pour mettre les femmes à leur place & opérer le bonheur des deux sexes, avec des notes historiques et justificatives, suivies des noms des femmes célèbres, recueillis (sic) par N.-E. Rétif-de-la-Bretonne, éditeur de l’ouvrage";;
"RÉTIF DE LA BRETONNE, Nicolas-Edme";"Le nouvel Abeilard ou lettres de deux amans qui ne se sont jamais vus";;
"RÉTIF DE LA BRETONNE, Nicolas-Edme";"L’année des dames nationales ou histoire, jour-par-jour, d’une femme de France, par N.-E. Réstif-de-la-Bretone Genève & Paris, chés les libraires indiqués à la tête de mon";;
"RÉTIF DE LA BRETONNE, Nicolas-Edme n";"Le paysan et la paysanne pervertis ou les dangers de la ville, histoire récente mise au jour d’après les véritables lettres des personages, par N.-E.-Rétif-De-La-Bretonne Imprimé à";;
"RÉTIF DE LA BRETONNE. Nicolas-Edme";"Les Parisiennes ou XL caractères généraux pris dans les moeurs actuelles, propres à servir à l’instruction des per-sonnes-du-sexe, tirés des mémoires du nouveau Lycée-des-mœurs";;
"RÉTIF DE LA BRETONNE. Nicolas-Edme";"Tableaux de la vie ou les mœurs du dix-huitième siècle, avec 17 figures en taille-douce";;
"RÉVÉRONI SAINT-CYR, baron Jacques-Antoine de";"Pauliska ou la perversité moderne, mémoires récens d’une Polonaise";;
"RÉVÉRONI SAINT-CYR, Jacques-Antoine, baron de";"Sabina d’Herfeld ou les dangers de l’imagination, lettres prussiennes recueillies par R*** St Cir";;
"RÉVÉRONI SAINT-CYR, Jacques-Antoine, baron de";"Nos folies ou mémoires d’un musulman connu à Paris en 1798, recueillis et publiés par l’auteur de Sabina d’Herfeld";;
"RICARD SAINT-HILAIRE";"Juliette et Dalmor ou les amants des Cévennes, par Ricard Saint-Hillaire fils";;
"RICCOBONI, Marie-Jeanne Laboras de Mézières, madame";"Histoire de miss Jenny, écrite & envoyée par elle à milady comtesse de Roscomond, ambassadrice d’Angleterre à la cour de Dannemark, par madame Riccoboni";;
"RICCOBONI, Marie-Jeanne Laboras de Mézières, madame";"Lettres de my-lord Rivers à sir Charles Cardigan, entremêlées d’une partie de ses correspondances à Londres pendant son séjour en France, par madame Riccoboni";;
"RICCOBONI, Marie-Jeanne Laboras de Mézières, madame";"Histoire de M. le marquis de Cressy, traduite de l’anglois par Madame de ***";;
"RICCOBONI, Marie-Jeanne Laboras de Mézières, madame";"Jeanne Gray, anecdote angloise par M. d’Ussieux";;
"RICCOBONI, Marie-Jeanne Laboras de Mézières, madame";"Lettres de milady Juliette Catesby à milady Henriette Campley son amie";;
"RICCOBONI, Marie-Jeanne Laboras de Mézières, madame";"Lettres d’Adélaïde de Dammartin, comtesse de Sancerre à monsieur le comte de Nancé, son ami, par madame Riccoboni";;
"RICCOBONI, Marie-Jeanne Laboras de Mézières, madame";"Histoire de Christine, reine de Suabe, et celle d’Alo’ise de Livarot, par madame Riccoboni, première partie";;
"RICCOBONI, Marie-Jeanne Laboras de Mézières, madame";"Les amours de Roger et de Gertrude, par Mme Riccoboni, par ordre de Mgr le comte d’Artois";;
"RICCOBONI, Marie-Jeanne Laboras de Mézières, madame";"RecueU de pièces détachées, par madame Riccoboni";;
"RICCOBONI. Marie-Jeanne Laboras de Mézières, madame";"Histoire d’Aloïse de Livarot, par Mme Riccoboni, par ordre de Mgr le comte d’Artois";;
"RICHARD, le père Charles-Louis";"Les astuces de Paris, anecdotes parisiennes dans lesquelles on voit les ruses que les intrigans et certaines jolies femmes mettent communément en usage pour tromper les gens simples et les étrangers, par M. N***";;
"RICHARDSON, Samuel";"Nouvelles lettres angloisesou histoire du chevalier Grandisson par l’auteur de Paméla et de Clarisse";;
"RICHARDSON, Samuel";"Clarisse Harlowc, traduction nouvelle et seule complète, par M. Letourncur, faite sur l’édition originale revue par Richardson, ornée de figures du célèbre Chodowiecki de Berlin, dédiée & présentée à Monsieur, frère du Roi";;
"RICHARDSON, Samuel";"Histoire de sir Charles Grandison, contenue dans une suite de lettres publiées sur les originaux par l’éditeur de Paméla et de Clarisse, ouvrage traduit de l’anglois Gôttingueet Leyde, Elie";;
"RICHARDSON, Samuel";"Lettres angloises ou histoire de miss Clarisse Harlove, tome septième";;
"RICHARDSON, William";"Mirano ou les sauvages, histoire américaine traduite de l’anglais de Richardson, par Théodore-Pierre Bertin";;
"RIDLEY, James";"Les contes des génies ou les charmantes leçons d’Horam fils d’Asmar, ouvrage traduit du persan en anglois, par sir Charles Morell, ci-devant ambassadeur des établissements anglois dans l’Inde, à la cour du grand Mogol, et en françois sur la traduction angloise";;
"RIPAULT, Louis-Madeleine";"Une journée de Paris";;
"RIVAROL, Claude-François, chevalier, ensuite comte de";"Œuvres littéraires de François Rivarol";;
"RIVAROL, Claude-François, chevalier, ensuite comte de";"Isman ou le fatalisme, histoire persanne, traduite du portugais de don Sébastien";;
"ROBERT, Louise-Félicité Guinement de Kéralio, madame";"Adélaïde ou mémoires de la marquise de M***, écrits par elle-même";;
"ROBERT, Marie-Anne de Roumier, madame";"Voyages de milord Céton dans les sept planettes ou le nouveau Mentor, traduits par madame de R.R.";;
"ROBERT, Marie-Anne de Roumier, madame";"La paysanne philosophe ou les aventures de madame la comtesse de ***";;
"ROBERT, Marie-Anne de Roumier, madame";"La voix de la nature ou les aventures de madame la marquise de *** par mad. de R.R., auteur de la Paysanne philosophe";;
"ROBERT, Marie-Anne de Roumier, madame";"Nicole de Beauvais ou l’amour vaincu par la reconnoissance, par madame Robert";;
"ROBERT. Marie-Anne de Roumier, madame";"Les ondins, conte moral, par madame Robert";;
"ROBINSON, Mary Darby";"Le faux ami, par MP16 Robinson, auteur d’Angelina, de Walsingham, etc., traduit de l’anglais sur la seconde édition, avec figures";;
"ROBINSON, Mary Darby";"Hubert de Sévrac ou histoire d’un émigré, roman du dix-huitième siècle par Marie Robinson, auteur d’Angelina. de l’Amant sicilien, de la Veuve, etc. etc., traduit de l’anglais par M. Cantwell";;
"ROBINSON, Mary Darby trad.par?";"Vancenza ou les dangers de la crédulité";;
"ROCHE, Regina Maria";"Les enfans de l’abbaye, par madame Maria-Regina Roche, traduit de l’anglois par André Morellet";;
"ROCHE, Regina Maria";"Le curé de Lansdowne ou les garnisons, imité de l’anglois de miss Dalton";;
"ROCHE, Regina Maria";"Les enfans de l’abbaye, par madame Regina Maria Roche, tra duit de l’anglais par André Morellet, omé de gravures";;
"ROCHE, Regina Maria";"Regina Maria Roche, auteur des Enfans de l’abbaye, traduit de l’anglais par André Morellet";;
"ROCHEFORT, A.T. de";"Adraste et Nancy V. Y., anecdote américaine, par A.T. de Rochefort, département de la Charente-Inférieure";;
"Rochette de";;;
"ROME, madame de, née Marné de";"Morville Eulalie ou le repentir";;
"RONESSE, Jacques-Hippolyte";"Mémoire de Sultan-Faithful";;
"ROSNY, Antoine-Joseph-Nicolas de";"Le rêve d’un philosophe ou voici toute mon ambition! par Joseph Rosny, suivi de la réponse par l’auteur de Betsy, deuxième édition";;
"ROSNY, Antoine-Joseph-Nicolas de";"Anecdote du jour ou histoire d’une détention à la prison";;
"ROSNY, Antoine-Joseph-Nicolas de";"Les six nouvelles ou la confession galante de six femmes du jour, par A.J. Rosny, auteur d’/lrfè/e et Germeuil";;
"ROSNY, Antoine-Joseph-Nicolas de";"Ulamor et Feltidie, histoire allégorique, traduite de l’arabe par M. R...";;
"ROSNY, Antoine-Joseph-Nicolas de";"Mes vingt-cinq ans ou mémoires d’un jeune homme, fidèlement rédigés ou recueillis par lui-même";;
"ROSNY, Antoine-Joseph-Nicolas de";"Gemance ou la force des passions, anecdote française par Joseph Rosny";;
"ROSNY, Antoine-Joseph-Nicolas de";"Firmin ou le jouet de la fortune, histoire d’un jeune émigré, par Joseph Rosny";;
"ROSNY, Antoine-Joseph-Nicolas de";"Joseph et Caroline ou le berger de la Sologne, mémoires d’un jeune homme, fidèlement rédigés par lui-même, histoire véritable, par un officier de la légion des Ardennes, avec figures";;
"ROSNY, Antoine-Joseph-Nicolas de";"Le délire du sentiment ou rêveries d’un homme sensible, satire";;
"ROSNY, Antoine-Joseph-Nicolas de";"La laitière de Saint-Ouen, anecdote suivie de Lorino, nouvelle vénitienne";;
"ROSNY, Antoine-Joseph-Nicolas de";"L’optique du jour ou le foyer de Montansier, par Joseph R‘**y";;
"ROSNY, Antoine-Joseph-Nicolas de";"Le prêteur sur gages ou l’intérieur des maisons de prêts, ouvrage critique, historique et moral, formant suite à l’Optique du jour, par Joseph R****y";;
"ROSNY, Antoine-Joseph-Nicolas de";"Les infortunes de Mr. de la Galetierre pendant le régime dé-cemviral, contenant ses persécutions, sa fuite sous Robespierre, son naufrage et son séjour dans une île déserte, suivis de son retour en France, par A.J. Rosny, auteur de Joseph et Caroline";;
"ROSNY, Antoine-Joseph-Nicolas de";"Adèle et Germeuil ou I’hermitage des monts Pyrénées, par A.J. Rosny, orné de figures dessinées par Quéverdo et gravées par Villeray";;
"ROSNY, Antoine-Joseph-Nicolas de";"Isidore et Juliette, anecdote du quinzième siècle";;
"ROSNY, Antoine-Joseph-Nicolas de";"Calixta de Pormentall ou les victimes de l’indifférence, anecdote helvétique";;
"ROSNY, Antoine-Joseph-Nicolas de";"Le tableau comique ou l’intérieur d’une troupe de comédiens, formant suite à l’Optique du jour, par Joseph R***y";;
"ROSNY. Antoine-Joseph-Nicolas de";"Claude et Claudine ou l’amour au village, roman pastoral, imité d’Estelle de Florian";;
"ROSOI, Barnabe Farmian de, dit Durosoi";"Clairval philosophe ou la force des passions, mémoires d’une femme retirée du monde";;
"ROSOI, Barnabè Farmian de, dit Durosoi";"Lettres de Cécile à Julie ou les combats de la nature";;
"ROSOI, Barnabe Farmian de, dit Durosoi n";"Lettres de Cécile à Julie ou les combats de la nature, nouvelle édition augmentée de plusieurs lettres";;
"ROUGET DE LISLE, Claude-Joseph";"Essais en vers et en prose, par Joseph Rouget de Lisle";;
"ROUSSEAU, Jean-Jacques";"Lettres de deux amans, habitans d’une petite ville au pied des Alpes, recueillies et publiées par J.-J. Rousseau";;
"ROUSSEAU, Jean-Jacques";"Émile ou de l’éducation";;
"ROUSSEAU, Jean-Jacques";"Œuvres posthumes de Jean-Jacques Rousseau ou recueil de pièces manuscrites pour servir de supplément aux éditions publiées pendant sa vie";;
"ROUSSEAU, Jean-Jacques";"Collection complète des Œuvres de J. J. Rousseau";;
"ROUSSEAU, Jean-Jacques";"La reine Fantasque, conte cacouac, par Mr R.C. de G.";;
"ROUSSEAU, Pierre (de Toulouse)";"Les faux pas, ou mémoires vrais ou vraisemblables de la baronne de ***, traduits de l’original bas-breton";;
"ROUSSELOT DE SURGY, Jacques-Philibert";"Les vicissitudes de la fortune ou cours de morale mise en action pour servir à l’histoire de l’humanité";;
"ROY, abbé Jean";"La folie du sexe";;
"ROZET";"Anecdotes historiques de la vie de Bogislas X, duc de Poméranie, surnommé le Grand, suivies de Korem et de Zendar, conte tartare, par M. Rozet";;
"RUMPLER, chanoine François-Louis";"Histoire véritable de la vie errante et de la mort subite d’un chanoine qui vit encore, écrite à Paris par le défunt lui-même.";;
"RUTLIDGE, James, dit Jean-Jacques";"Ru tledge La quinzaine angloise à Paris ou l’art de s’y ruiner en peu de temps, ouvrage posthume du docteur Stearne (sic), traduit de l’anglois par un observateur";;
"RUTLIDGE, James, dit Jean-Jacques";"Rutledge Alphonsine ou les dangers du grand monde, par l’auteur de la Quinzaine angloise";;
"RUTLIDGE, James, dit Jean-Jacques";"Rutlcdge Premier et second voyages de mylord de *** à Paris, contenant la Quinzaine anglaise et le retour de mylord dans cette capitale après sa majorité par le Ch. R***";;
"RUTLIDGE, James, dit Jean-Jacques Rutledge";"Le vice et la foiblesse ou mémoires de deux provinciales, rédigés par l’auteur de la Quinzaine angloise";;
"RUTLIDGE, James, dit Jean-Jacques Rutledge";"Supplément à la Quinzaine angloise ou mémoires de monsieur Provence";;
"RUTLIDGE, James, dit Jean-Jacques Rutledge";"Mémoires de Julie de M...";;
"RUTLIDGE, James, dit Jean-Jacques Rutledge";"L’astuce dévoilée ou origine des maux de la France, perdue par les manœuvres du ministre Necker, avec des notes & anecdotes sur son administration, par M. Rutofle de Lode";;
"RUTLIDGE, James, dit Jean-Jacques Rutledge";"Les confessions d’un Anglois ou mémoires de sir Charles Simpson, rédigés sur le manuscrit original par l’auteur de la Quinzaine angloise";;
"SABATIER, abbé Antoine, dit Sabatier de";"Castres Betsi ou les bizarreries du destin";;
"SABATIER, abbé Antoine, dit Sabatier de";"Castres L’école des pères et des mères ou les trois infortunées";;
"SABATIER, abbé Antoine, dit Sabatier de";"Castres La ratomanic ou songe moral et critique d’une jeune philosophe, par madame ***";;
"SACY, Claude-Louis-Michel de";"Les amours de Mirtil";;
"SACY, Claude-Louis-Michel de";"Les amours de Laïs, histoire grecque, par M. de S***";;
"SACY, Claude-Louis-Michel de";"Les amis rivaux, histoire anglaise par M. de Sacy";;
"SACY, Claude-Louis-Michel de";"Les jeux de la fortune par M. de S***";;
"SACY, Claude-Louis-Michel de";"Les amours de Sapho et de Phaon";;
"SADE, Donatien-Alphonse-François, marquis de";"La philosophie dans le boudoir, ouvrage posthume de l’auteur de Justine";;
"SADE, Donatien-Alphonse-François, marquis de";"Justine ou les malheurs de la vertu";;
"SADE, Donatien-Alphonse-François, marquis de";"Aline et Valcour ou le roman philosophique, écrit à la Bastille un an avant la Révolution de France, orné de quatorze gravures, par le citoyen S***";;
"SADE, Donatien-Alphonse-François, marquis de";"La nouvelle Justine ou les malheurs de la vertu, ouvrage omé d’un frontispice et de quarante sujets gravés avec soin";;
"SADE, Donatien-Alphonse-François, marquis de";"Les crimes de l’amour, nouvelles héroïques et tragiques, précédés d’une idée sur les romans et ornés de gravures, par D.A. F. Sade, auteur d'Aline et Valcour";;
"SAINT-AUBIN, madame";"Mézières du Crest, baronne d’Andlau, marquise de Mémoires en forme de lettres de deux jeunes personnes de qualité, par l’auteur du Danger des liaisons";;
"SAINT-AUBIN, madame Mézièresdu Crest, baronne d’Andlau, marquise de";"Le danger des liaisons ou mémoires de la baronne de Blémon par madame la M ... de S.A.";;
"SAINT-AULAIRE, Yrieix Beaupoil. marquis de";"Histoire d’une détention de trente-neuf ans dans les prisons d’Etat, écrite par le prisonnier lui-même";;
"SAINT-CHAMOND, Claire-Marie Mazarelli, marquise de";"La Vieuville de Camédris, conte, par Mlle Mazarelli";;
"SAINT-CHAMOND, marquis de";"La Vieuville de Ah! que c’est bête! par M. Timbré";;
"SAINT-FLOUR";"L’espion ou l’histoire du faux baron de Maubert, auteur de plusieurs libelles qui ont paru pendant cette guerTC, pour lesquels il a été exilé de la Hollande";;
"SAINT-GILLES, mademoiselle de •";"Histoire de madame d’Orvigny ou ses loisirs, conte moral";;
"SAINT-LAMBERT, Jean-François, marquis de";"Les deux amis, conte iroquois";;
"SAINT-LAMBERT, Jean-François, marquis de";"Sarah Th....., nouvelle traduite de l’anglais";;
"SAINT-LAMBERT, Jean-François, marquis de";"Les Saisons , poème. Abenaki, Sarah Th..., Ziméo, contes. Pièces fugitives en vers. Fables orientales";;
"SAINT-LAMBERT, Jean-François, marquis de";"Aventure d’un jeune officier anglais";;
"SAINT-MARCEL, A.-Philippe Tardieu";"Aphrodite ou la fille retrouvée, roman imité de Shaskpear (sic), par T. Saint-Marcel";;
"SAINT-PIERRE, Jacques-Henri";"Bernardin de Études de la nature, par Jacques-Henri-Bernardin de Saint-Pierre, tome quatrième";;
"SAINT-PIERRE, Jacques-Henri";"Bernardin de Suite des Vœux d’un solitaire, pour servir de complément au cinquième volume des Etudes de la nature, avec la Chaumière indienne, par Jacques-Bcrnardin-Hcnri de Saint-Pierre";;
"SAINT-PIERRE, Jacques-Henri";"Bernardin de La chaumière indienne, par Jacques-Bemardin-Henri de Saint-Pierre";;
"SAINTE-COLOMBE, Etienne-Guillaume Colombe, dit";"Les plaisirs d’un jour ou la journée d’une provinciale à Paris";;
