9;"Histoire d’Amyntor et de Thérèse, traduite de l’anglois";;
"ARNAUD, François-Thomas-Marie de Baculard d’";"Suite des Epreuves du sentiment par M. d’Arnaud, tome quatrième, cinquième anecdote, Germeuil";;
"ARNAUD, François-Thomas-Marie de Baculard d’";"Nouvelles historiques par M. d’Arnaud";;
"ARNAUD, François-Thomas-Marie de Baculard d’";"Suite des Epreuves du sentiment, tome troisième, seconde anecdote, Bazile";;
"ARNAUD, François-Thomas-Marie de Baculard d’";"Œuvres du comte Algarotti traduit (sic) de l’italien";;
"ARNAUD, François-Thomas-Marie de Baculard d’";"Suite des Epreuves du sentiment par M. d’Arnaud, tome cinquième, première anecdote, Daminville";;
"ARNAUD, François-Thomas-Marie de Baculard d’";"Suite des Epreuves du sentiment par M. d’Arnaud, tome troisième, troisième anecdote, Lorezzo";;
"ARNAUD, François-Thomas-Marie de Baculard d’";"Suite des Epreuves du sentiment par M. d’Arnaud, tome cinquième, deuxième anecdote, Henriette et Chariot";;
"ARNAUD, François-Thomas-Marie de Baculard d’";"Nouvelles historiques par M. d’Arnaud, tome second";;
"ARNAUD, François-Thomas-Marie de Baculard d’";"Suite des Epreuves du sentiment par M. d’Arnaud, tome quatrième, quatrième anecdote, Makin";;
"ARNAUD, François-Thomas-Marie de Baculard d’";"Dona Elmira ou la fidélité à l’épreuve, histoire traduite de l’espagnol par M. d’Arnaud, enrichie de figures en taille-douce";;
"ARNAUD, François-Thomas-Marie de Baculard d’";"Suite des Nouvelles historiques, M. d’Arnaud (sic), tome premier, seconde nouvelle, Varbeck";;
"ARNAUD, François-Thomas-Marie de Baculard d’";"Anne Bell, histoire anglaise, par M. d’Arnaud";;
"ARNAUD, François-Thomas-Marie de Baculard d’";"Zénothémis, anecdote marseilloise par M. d’Arnaud";;
"ARNAUD, François-Thomas-Marie de Baculard d’";"Suite des Epreuves du sentiment par M. d’Arnaud, tome cinquième, troisième anecdote, Valmiers";;
"ARNAUD, François-Thomas-Marie de Baculard d’";"Délassemens de l’homme sensible ou anecdotes diverses, par M. d’Arnaud, seconde année";;
