Adélaïde ou 
Arminius ou 
Nourjahad
L’homme 
Voyage sentimental 
La nouvelle 
Les amours 
Morville La 
Les deux 
Wilhelmine
Les 
Les aventures 
Musarion ou 
Histoire de 
Les amours 
De Langreset 
La douce 
L’erreur reconnue

La femme 
L’hirondelle de 
Les amours 
Géon rhéteur 
Histoire naturelle

Le Nagzag 
Suite et 
Zama
Argénis

Les soirées 
Le dépit 
Histoires édifiantes 
Guillard de 
Folie de 
Lettres africaines 
CERFVOLde L’aveugle 
Lettres angloises 
Lettres athéniennes 
Mémoires d’un 
Les sacrifices 
Adélaïde ou 
Desboulmiers Trapue

Mes délassements 
Lettres du 
Poésies pastorales 
Morville L’homme 
Choix de 
Le frontispice 
Le temple 
Les soirées 
Les tableaux

Les mille 
Morville L’homme 
Le marquis 
Le manuel 
SAVIN Zéphirine 
Confidence philosophique

Louis d’USSIEUX 
Les Grâces 
Les Grâces

ancien professeur 
Adélaïde ou 
Ecole de 
Lettres d’elle 
Les désirs 
Lindor ou 
Les matinées 
On ne 
 éd par 
Les refus

Adelson et 
Sargines
Mémoires 
Les amours 
Le protecteur 
Journées mogoles

Odazir ou 
Le diable 
Lettres du 
Les malheurs 
Histoire de 
Le philosophe 
Usong
Lydia 
Les caprices 
Jeannette ou 
Les mœurs 
Supplément au 
Lettres illinoises

Voyage d’un 
Les oreilles 
Edme Adèle 
Henriette et 
Jeanne Gray

Le Décaméron 
Socrate en 
Maria et 
Histoire de 
Les orphelins 
Roman philosophique 
Rosalie ou 
Les soirées 
Vie et 
La voix 
Zénothémis
Les 
Les aventures 
Guillaume
Le 
Les promenades 
La comète

Sennemours et 
Le triomphe 
Le palais 
Contes moraux 
Le carnaval 
Les égaremens 
Les dangers 
Recueil d’anecdotes 
Lettres à 
Mémoires de 
Tobie
L’amour 
Donquichotte femelle

La femme 
Le ménage 
Vénus dans 
Berthold
Clémence 
Elizène
Le 
La confession 
Lejeune philosophe 
La nouvelle 
La restitution

Le Télémaque 
Le triomphe 
Dona Elmira 
Nouvelles historiques 
Nouvelles historiques 
Suite des 
Suite des 
La gazette 
L’homme du 
Les conversations 
Le comte 
Contes traduits 
Les amans 
Nouveaux contes 
La constance 
La nouvelle 
Contes moraux 
Les nouveaux 
Plaisance Jérusalem 
Le Décaméron 
sans peur

Héro et 
Le duel 
La vie 
La philosophie 
Raymond et 
Roger et 
Le taureau 
Les amours 
Histoire de 
Lettres galantes 
Werther 75Ibis 
Choix de 
Le comte 
Henriette Wyndham 
Histoire de 
Histoire de 
Le loisir 
Les récréations 
La victime 
Zabhet ou 
Les confidences 
Louis d’USSIEUX 
Suite des 
Suite des 
Suite des 
Suite des 
Lectures pour 
La fille 
Les suites 
Frédégonde et 
La Sibyle 
Tubières-Grimoard de 
Nouvelles espagnoles 
Les aventures 
Colette ou 
Le livre 
Le sacre 
Zély ou 
Alfred
Le 
Ouvrage sans 
Œuvres mêlées 
L’homme du 
L’homme et 
L’homme sensible

Andréa de 
Les astuces 
Extrait du 
Voltaire parmi 
Nouvelles françaises 
Chateaubriand
Thélaire

Histoire de 
Mélanges de 
Nouveaux mélanges 
Les avantures 
Bibliothèque amusante 
La confession 
Les décisions 
La destinée 
L’école des 
Eloge funèbre 
L’erreur d’un 
Les hommes 
Mémoires d’une 
Les momens 
Roland furieux

Suite des 
Volsidor et 
poésies fugitives 
L’héroïsme de 
La Lusiade 
Le duc 
CEuvres badines 
Nouvelles espagnoles 
Nouvelles espagnoles 
Nouvelles espagnoles 
La Divine 
Mémoires historiques 
Naru
Contes 
Les souffrances 
Dufour et 
Les nouvelles 
Œuvres diverses 
L’Iliade
Les 
Nouveaux contes 
Florello
Valmore

Les jeux 
Azor &amp; 
Les loisirs 
Histoire de 
Les deux 
Lettres de 
Le Fin-Matois 
L’école des 
Le paysan 
Ru tledge 
La Vieuville 
La vie 
Anecdotes de 
s Faldoni 
Angélique de 
Les deux 
Mémoires de 
Eulalie ou 
Lettres galantes 
Le monialisme

Les avantures 
Le congrès 
Nouvelles historiques 
Suite des 
Suite des 
Suite des 
Vie de 
Fo-ka ou 
De l’éducation 
Voyage de 
Le Thévenon 
Lettres de 
Le pot 
Histoire de 
Vie privée 
Les méprises 
Histoire de 
Nouvelles espagnoles 
Nouvelles espagnoles 
Nouvelles espagnoles 
Nouvelles espagnoles 
Nouvelles espagnoles 
Nouvelles espagnoles 
Nouvelles espagnoles 
Nouvelles espagnoles 
La confiance 
Le temple 
Mémoires philosophiques 
Pensées philosophiques 
Origine des 
Le libertin 
Fables et 
Histoire de 
Aristide
Dialogues 
L’académie militaire 
Les passions 
Histoire de 
Vie et 
Fêtes des 
Lettres et 
Les noces 
Soirées de 
Les mannequins

Les Incas 
Héliogabale et 
La paysanne 
Les malheurs 
Les dernières 
Les gynographes 
Le quadragénaire 
Lettres de 
Rutlcdge Premier 
Les amours 
Mélanges de 
Lettres écossaises

L’horloge parlante

Les matinées 
Mémoires de 
Philémon ou 
Les soirées 
Contes et 
Suite des 
Calendrier de 
La vertu 
Lettres de 
Milord d’Ambi

Voyage de 
Le prix 
L’excursion ou 
L’écu de 
M l’abbé 
Mémoires de 
Le comte 
Lettres du 
Le nouveau 
Rêveries philosophiques 
Entretiens
Le 
Les îles 
Cogners et 
Le voyage 
Le nouvel 
Le danger 
Les aventures 
Sainte-Agnès et 
Charlotte de 
Contes et 
Agathon et 
La femme 
L’odalisque
Le 
Relation véridique 
Le vieillard 
Evelina ou 
Suite des 
Suite des 
Histoire de 
Voltairimeros ou 
Castres Contes 
Le nouveau 
Le nouveau 
Sophie ou 
Dominique Vivant 
Le tome 
Contes philosophiques 
La comtesse 
Les deux 
Satires de 
Fabliaux ou 
Théagènes
La 
Histoire de 
Histoire de 
Les anecdotes 
Sophie ou 
Contes orientaux 
Les foiblesses 
Les deux 
Triomphe de 
La vie 
Le favori 
Traduction libre 
Marie de 
Françoise de 
Alexis
Musarion

Histoire d’Alexis 
Histoire de 
Nouveaux contes 
Paris vu 
Recueil de 
Vituline ou 
Suite des 
